Date;Time;Temp_C;Hum;Press_Bar;TempCabine_C;Charge;SR_Wm2;WindPeak_ms;WindSpeed_Inst;WindSpeed_Avg;WindDir_Inst;WindDir_Avg;Estacao
21/04/2025;16:10;26.96;33.93;1021.87;24.26;12.93;765.91;11.3;0.22;4.49;86.01;252.09;A;
21/04/2025;16:20;29.73;49.01;1012.86;23.18;13.08;10.35;7.11;5.18;7.11;339.09;170.58;A;
21/04/2025;16:30;18.87;42.15;1006.65;21.9;13.18;722.5;0.26;9.62;6.41;8.49;65.55;A;
21/04/2025;16:40;25.19;72.86;1017.42;26.26;12.98;177.12;3.5;6.05;3.43;99.61;355.44;A;
21/04/2025;16:50;24.27;40.74;1006.09;24.42;12.84;756.74;7.98;8.33;4.04;295.33;319.23;A;
21/04/2025;17:00;28.02;53.02;1019.0;19.09;12.73;418.35;2.27;4.29;7.08;29.2;161.17;A;
21/04/2025;17:10;22.81;88.99;1014.4;24.0;13.05;379.68;0.33;4.55;8.45;107.02;255.16;A;
21/04/2025;17:20;18.37;66.2;1013.58;28.83;13.01;27.89;2.44;9.85;6.35;202.39;244.71;A;
21/04/2025;17:30;20.58;54.82;1013.95;27.39;12.73;368.8;4.18;2.0;0.09;140.84;305.3;A;
21/04/2025;17:40;28.44;39.45;1020.7;24.12;12.75;492.3;11.35;6.96;4.82;245.49;341.5;A;
21/04/2025;17:50;16.38;72.03;1013.43;23.95;13.09;434.69;1.18;9.14;4.0;36.58;151.93;A;
21/04/2025;18:00;25.68;40.98;1011.48;26.5;12.87;4.09;1.78;4.77;6.28;31.28;12.65;A;
21/04/2025;18:10;19.29;62.63;1006.48;20.85;12.9;79.5;9.63;9.84;3.47;289.27;214.72;A;
21/04/2025;18:20;24.64;42.63;1010.36;22.61;12.99;524.55;0.29;5.31;0.67;163.06;139.75;A;
21/04/2025;18:30;16.85;50.43;1008.74;21.0;13.14;549.15;1.03;5.62;7.49;22.35;334.26;A;
21/04/2025;18:40;28.35;42.9;1011.62;19.86;12.92;251.91;10.56;4.92;3.77;55.61;71.72;A;
21/04/2025;18:50;19.93;38.88;1019.18;19.9;12.73;496.84;11.58;5.24;6.23;323.21;128.25;A;
21/04/2025;19:00;15.25;84.16;1014.06;29.22;12.69;293.98;0.69;4.5;0.97;313.51;206.92;A;
21/04/2025;19:10;25.88;52.52;1011.58;21.74;12.54;808.29;0.45;7.24;3.23;82.19;21.72;A;
21/04/2025;19:20;29.27;61.39;1017.6;24.29;12.58;738.6;1.89;4.86;1.95;234.37;134.33;A;
21/04/2025;19:30;37.13;38.22;1020.0;30.1;13.08;192.39;9.25;3.83;5.36;206.1;22.47;A;
21/04/2025;19:40;30.42;73.45;1009.26;23.5;12.62;482.62;3.28;3.73;1.16;229.18;66.78;A;
21/04/2025;19:50;22.38;43.89;1004.69;22.65;12.62;359.35;9.74;6.08;4.59;270.43;328.11;A;
21/04/2025;20:00;23.02;67.13;1026.55;25.22;12.93;367.86;10.78;6.94;9.69;103.84;183.43;A;
21/04/2025;20:10;10.71;75.68;1014.03;28.72;12.79;21.2;2.78;5.76;3.29;230.28;96.64;A;
21/04/2025;20:20;17.82;37.47;1009.6;26.68;13.13;429.31;2.18;6.58;5.33;118.16;256.84;A;
21/04/2025;20:30;28.73;34.11;1009.89;23.26;13.1;755.1;1.62;6.91;1.61;340.3;74.46;A;
21/04/2025;20:40;27.76;86.01;1015.56;28.35;13.15;334.59;1.13;3.7;7.5;239.25;344.17;A;
21/04/2025;20:50;21.7;69.55;1012.47;20.49;13.19;128.04;6.55;1.63;9.66;164.51;149.97;A;
21/04/2025;21:00;16.74;68.73;1017.25;26.38;12.67;885.71;3.59;9.59;4.83;40.53;179.58;A;
21/04/2025;21:10;26.16;30.29;1017.89;25.13;12.51;307.43;1.92;6.67;2.8;260.76;20.82;A;
21/04/2025;21:20;23.84;65.46;1010.53;29.06;12.51;524.88;8.5;7.99;8.54;216.82;317.35;A;
21/04/2025;21:30;9.87;56.46;1015.82;14.44;12.52;424.66;5.7;6.89;2.44;49.49;0.39;A;
21/04/2025;21:40;25.14;78.67;1025.42;22.61;12.67;65.2;0.98;6.78;1.07;253.35;313.09;A;
21/04/2025;21:50;30.83;73.51;1024.37;24.06;12.89;50.11;1.41;3.98;7.68;163.2;261.5;A;
21/04/2025;22:00;15.34;45.65;1017.21;23.44;12.76;27.59;9.39;7.0;9.43;242.83;341.67;A;
21/04/2025;22:10;28.74;32.61;1014.66;16.91;13.17;431.92;4.72;0.05;0.99;275.42;285.97;A;
21/04/2025;22:20;26.28;39.5;1016.81;28.39;12.86;535.66;1.91;1.32;6.72;63.03;241.99;A;
21/04/2025;22:30;6.68;75.64;1014.22;22.07;12.53;399.01;3.36;6.95;3.32;5.97;81.39;A;
21/04/2025;22:40;12.6;86.5;1010.47;30.69;12.68;784.5;5.93;1.66;6.53;38.19;81.96;A;
21/04/2025;22:50;35.45;82.9;1019.02;22.22;13.18;49.76;11.39;4.44;2.2;318.54;195.88;A;
21/04/2025;23:00;28.66;68.57;1012.65;24.37;12.77;615.07;1.66;2.87;5.67;13.38;24.09;A;
21/04/2025;23:10;35.02;75.91;1006.63;28.3;12.64;670.46;11.92;2.04;3.45;149.38;93.47;A;
21/04/2025;23:20;27.66;62.72;1014.48;26.91;13.08;608.11;9.1;7.13;9.0;323.6;276.11;A;
21/04/2025;23:30;12.83;53.03;1014.23;25.37;13.14;299.96;9.77;5.17;3.58;350.08;34.43;A;
21/04/2025;23:40;20.76;87.02;1014.87;35.6;12.97;387.42;10.53;5.24;0.92;153.67;217.96;A;
21/04/2025;23:50;19.29;32.26;1011.72;27.59;13.17;347.35;9.27;7.67;8.92;29.07;296.16;A;
22/04/2025;00:00;17.47;44.76;1012.52;17.83;13.02;319.17;4.35;0.51;4.07;339.95;62.33;A;
22/04/2025;00:10;23.5;68.09;1015.61;16.82;12.74;528.41;3.95;0.59;7.57;165.23;208.57;A;
22/04/2025;00:20;20.62;35.96;1018.58;21.87;12.68;113.73;1.57;6.68;8.1;308.91;163.29;A;
22/04/2025;00:30;8.2;42.99;1015.44;26.38;13.06;154.44;5.55;4.38;9.58;128.21;306.31;A;
22/04/2025;00:40;9.73;73.97;1019.03;29.86;13.03;303.3;8.69;8.69;0.15;182.03;104.38;A;
22/04/2025;00:50;30.29;69.9;1011.25;23.39;12.55;769.42;2.26;4.14;7.79;135.14;42.88;A;
22/04/2025;01:00;25.34;87.82;1021.3;17.43;13.03;471.42;9.11;3.3;7.46;66.85;107.89;A;
22/04/2025;01:10;19.09;34.28;1013.79;23.38;12.8;689.68;2.85;0.0;0.98;181.21;282.54;A;
22/04/2025;01:20;27.05;57.76;1019.75;23.4;12.6;279.27;6.32;7.46;2.11;221.29;284.76;A;
22/04/2025;01:30;19.95;66.31;1013.57;24.71;12.92;779.08;5.24;8.14;4.43;65.59;36.09;A;
22/04/2025;01:40;24.36;51.37;1011.73;22.15;12.99;1.79;9.71;7.46;4.33;260.59;33.97;A;
22/04/2025;01:50;22.66;88.53;1018.14;19.93;12.96;815.26;8.26;2.02;8.77;250.07;86.76;A;
22/04/2025;02:00;20.22;33.3;1014.21;18.62;13.05;129.24;5.72;8.11;1.94;176.32;89.82;A;
22/04/2025;02:10;15.22;73.28;1005.46;19.85;12.64;271.88;9.94;3.65;1.04;328.93;275.02;A;
22/04/2025;02:20;23.77;69.08;1012.4;24.25;12.83;878.59;1.66;7.76;8.87;49.85;92.2;A;
22/04/2025;02:30;29.11;50.69;1003.58;24.39;13.0;135.84;2.6;9.55;0.97;175.41;225.15;A;
22/04/2025;02:40;19.89;81.36;1011.23;31.12;12.92;806.29;2.5;1.97;5.54;277.2;352.87;A;
22/04/2025;02:50;32.07;76.48;1006.07;21.84;12.8;711.61;8.94;6.69;9.42;207.6;78.95;A;
22/04/2025;03:00;23.92;71.95;1021.79;23.03;12.72;516.92;1.47;6.59;7.62;12.84;151.65;A;
22/04/2025;03:10;22.44;85.79;1006.25;26.34;12.76;83.31;8.55;0.09;1.1;91.15;220.28;A;
22/04/2025;03:20;23.38;77.83;1017.84;19.96;13.17;888.33;0.59;6.3;3.17;293.84;115.03;A;
22/04/2025;03:30;25.19;39.36;1012.9;23.05;12.92;250.63;4.03;0.82;5.21;281.2;79.23;A;
22/04/2025;03:40;21.69;50.29;1018.32;20.19;12.62;548.48;6.6;1.72;2.44;107.09;240.12;A;
22/04/2025;03:50;14.11;81.74;1024.75;24.78;12.81;653.0;2.63;7.69;8.23;2.97;127.68;A;
22/04/2025;04:00;32.61;86.18;1003.45;31.21;12.68;366.42;2.09;7.28;0.84;298.2;295.54;A;
22/04/2025;04:10;23.06;34.28;1017.6;22.07;13.05;649.38;10.81;6.56;1.58;144.17;128.88;A;
22/04/2025;04:20;27.92;53.53;1012.87;24.75;12.92;844.56;8.5;1.55;7.81;281.72;246.06;A;
22/04/2025;04:30;15.3;37.04;1010.98;24.15;12.65;699.02;8.19;5.14;5.83;107.48;150.94;A;
22/04/2025;04:40;21.55;48.69;1006.29;24.25;12.89;659.36;11.65;3.37;8.05;299.66;275.86;A;
22/04/2025;04:50;25.07;57.93;1000.13;23.22;12.9;329.75;10.65;8.78;9.87;265.27;252.05;A;
22/04/2025;05:00;24.5;40.34;1006.02;23.94;12.77;770.75;8.77;1.65;1.6;120.36;25.79;A;
22/04/2025;05:10;15.06;45.59;1014.57;24.68;13.11;613.18;8.46;3.02;7.54;158.4;72.7;A;
22/04/2025;05:20;22.95;78.65;1010.73;27.57;13.14;278.72;4.12;3.05;5.28;56.95;203.25;A;
22/04/2025;05:30;19.7;67.65;1002.04;23.38;12.99;648.48;8.81;0.84;1.7;200.43;265.27;A;
22/04/2025;05:40;38.43;70.6;1013.93;16.28;13.07;415.33;0.58;1.73;5.97;109.43;138.05;A;
22/04/2025;05:50;20.44;78.43;1030.16;29.3;12.93;832.88;4.88;5.63;9.36;58.33;317.67;A;
22/04/2025;06:00;25.46;86.26;1011.0;25.79;13.02;198.62;5.11;9.46;4.94;275.29;257.22;A;
22/04/2025;06:10;11.94;42.96;1014.25;27.23;12.76;457.35;1.61;5.59;0.15;331.39;79.66;A;
22/04/2025;06:20;19.13;72.34;1013.0;25.23;13.03;563.59;10.03;8.31;6.59;267.1;299.8;A;
22/04/2025;06:30;28.29;81.65;1020.78;24.28;12.95;274.32;7.23;7.56;5.23;283.29;230.36;A;
22/04/2025;06:40;11.58;56.79;1015.76;20.37;12.65;579.15;6.41;5.61;0.72;328.12;294.07;A;
22/04/2025;06:50;21.68;45.16;1018.03;26.75;13.07;743.5;7.41;9.23;3.5;217.34;253.01;A;
22/04/2025;07:00;7.63;64.43;1009.75;31.28;13.01;82.94;9.64;7.23;7.99;155.66;137.43;A;
22/04/2025;07:10;15.19;64.42;1022.03;25.5;12.58;453.95;6.08;4.79;9.24;115.09;148.92;A;
22/04/2025;07:20;23.73;74.75;1021.82;27.55;12.97;197.67;11.9;1.0;0.39;349.14;331.93;A;
22/04/2025;07:30;27.7;75.97;1006.45;22.15;12.59;365.47;11.81;0.33;2.4;53.39;88.79;A;
22/04/2025;07:40;26.32;47.96;1019.43;17.9;13.05;283.13;2.36;4.76;7.86;68.49;61.24;A;
22/04/2025;07:50;22.08;33.29;1018.03;21.27;12.82;892.35;7.36;6.59;0.52;66.96;86.72;A;
22/04/2025;08:00;29.2;35.78;1008.49;30.34;13.07;404.21;5.54;4.13;7.19;143.43;230.04;A;
22/04/2025;08:10;18.87;31.26;1015.39;20.26;13.01;328.29;9.06;2.61;0.55;86.73;76.93;A;
22/04/2025;08:20;30.61;42.91;1010.97;19.33;12.67;817.48;2.63;0.29;1.97;287.36;105.83;A;
22/04/2025;08:30;16.54;31.49;1015.63;25.65;12.64;506.72;7.36;5.9;2.39;180.91;67.48;A;
22/04/2025;08:40;20.42;50.72;1015.32;26.81;12.56;52.45;11.03;8.32;9.07;198.04;240.01;A;
22/04/2025;08:50;27.07;33.53;1012.05;20.16;13.07;115.11;2.47;5.47;3.88;218.34;78.97;A;
22/04/2025;09:00;32.42;51.36;1009.33;26.74;12.85;324.35;1.12;7.35;9.07;263.31;10.16;A;
22/04/2025;09:10;24.98;44.27;1016.39;31.33;12.67;126.67;1.25;9.98;6.07;149.36;76.67;A;
22/04/2025;09:20;24.82;62.49;1013.43;27.7;12.87;164.22;5.06;7.95;9.21;29.3;200.47;A;
22/04/2025;09:30;15.55;53.69;1017.35;27.18;12.91;29.63;7.88;0.22;7.25;176.31;73.65;A;
22/04/2025;09:40;25.63;85.14;1015.69;24.42;13.12;320.21;4.9;1.22;6.03;98.91;138.9;A;
22/04/2025;09:50;21.71;63.33;1014.38;28.31;12.72;455.34;1.89;1.62;0.98;147.19;74.79;A;
22/04/2025;10:00;19.35;77.15;1009.96;20.23;13.07;671.36;0.52;2.65;8.71;186.06;76.46;A;
22/04/2025;10:10;30.67;87.03;1012.42;23.97;12.59;109.8;10.68;9.8;3.41;171.7;157.99;A;
22/04/2025;10:20;15.29;61.04;1011.12;18.78;12.94;275.47;1.17;7.92;6.29;249.29;151.35;A;
22/04/2025;10:30;26.89;56.93;1013.09;25.22;12.66;804.79;8.14;6.73;4.39;23.89;152.6;A;
22/04/2025;10:40;8.36;51.14;1021.77;23.33;12.88;655.48;0.27;1.57;6.86;72.17;199.17;A;
22/04/2025;10:50;30.91;43.94;1010.06;23.85;13.08;7.93;9.29;8.91;6.97;328.59;310.06;A;
22/04/2025;11:00;23.21;57.82;1006.63;27.14;12.65;652.52;8.34;5.34;4.34;153.42;171.48;A;
22/04/2025;11:10;21.21;71.41;1020.71;20.86;12.83;78.89;2.02;3.18;8.16;335.72;227.56;A;
22/04/2025;11:20;23.29;61.38;1012.93;17.86;13.1;503.18;0.2;1.57;0.5;218.3;104.42;A;
22/04/2025;11:30;28.46;48.79;1010.6;23.63;13.0;186.25;2.72;8.89;4.67;183.49;345.31;A;
22/04/2025;11:40;19.53;40.04;1014.89;27.54;12.65;818.61;9.31;6.06;9.42;230.67;332.43;A;
22/04/2025;11:50;15.17;52.26;1007.31;25.4;13.09;414.45;8.46;6.76;8.16;11.33;28.5;A;
22/04/2025;12:00;23.68;77.02;1013.82;25.76;12.72;273.52;8.0;9.27;0.98;9.52;222.63;A;
22/04/2025;12:10;22.52;66.2;1014.9;30.67;13.15;184.32;10.88;7.06;6.3;272.55;215.67;A;
22/04/2025;12:20;19.42;69.24;1016.92;32.47;13.09;878.19;4.17;4.72;7.03;265.91;177.41;A;
22/04/2025;12:30;26.42;69.78;1022.83;17.3;13.04;771.32;2.8;8.63;5.26;359.84;232.14;A;
22/04/2025;12:40;14.82;88.71;1021.99;26.72;12.72;583.53;2.41;6.88;8.48;288.58;109.54;A;
22/04/2025;12:50;17.81;49.51;1007.56;25.54;13.16;221.07;1.45;7.15;7.42;187.87;356.91;A;
22/04/2025;13:00;18.15;67.79;1013.82;28.15;12.67;340.88;3.82;1.69;4.61;165.21;215.73;A;
22/04/2025;13:10;13.85;62.57;1016.89;25.34;12.94;162.96;10.39;4.93;0.43;226.11;279.56;A;
22/04/2025;13:20;20.79;31.59;1013.26;19.57;12.61;754.27;2.38;7.0;3.63;278.26;211.99;A;
22/04/2025;13:30;19.25;33.39;1016.46;27.57;12.98;434.28;0.52;2.51;5.38;131.33;204.04;A;
22/04/2025;13:40;15.07;44.65;1018.75;15.68;13.14;465.37;2.65;6.19;9.29;233.11;113.59;A;
22/04/2025;13:50;20.2;77.42;1013.53;31.68;12.99;642.79;7.66;1.59;7.84;316.59;69.81;A;
22/04/2025;14:00;22.07;66.9;1011.27;26.19;12.94;315.09;2.87;3.49;8.99;226.6;75.63;A;
22/04/2025;14:10;23.07;51.1;1011.07;24.51;12.9;410.45;9.45;3.52;8.07;353.14;31.45;A;
22/04/2025;14:20;19.7;72.68;1008.85;21.57;12.8;803.08;6.39;6.27;3.93;25.83;251.42;A;
22/04/2025;14:30;23.51;69.4;1014.35;23.1;12.84;265.25;8.65;8.9;2.54;66.86;42.32;A;
22/04/2025;14:40;28.96;31.2;1021.57;23.9;13.02;754.82;11.54;3.29;1.23;261.31;284.11;A;
22/04/2025;14:50;17.92;82.16;1017.11;24.81;12.78;639.14;10.11;8.74;6.9;341.32;307.8;A;
22/04/2025;15:00;28.24;71.12;1011.61;30.15;12.57;596.05;0.98;8.91;6.79;231.68;280.45;A;
22/04/2025;15:10;26.91;64.48;1016.47;22.44;13.02;379.11;3.51;0.71;7.59;172.93;142.05;A;
22/04/2025;15:20;23.54;57.67;1014.35;16.52;12.86;720.11;2.3;4.5;4.3;165.64;267.36;A;
22/04/2025;15:30;14.35;46.39;1015.84;20.83;12.79;499.67;3.93;6.66;3.53;23.95;192.18;A;
22/04/2025;15:40;19.92;88.92;1012.14;24.34;12.55;118.25;7.19;3.28;3.18;74.01;233.48;A;
22/04/2025;15:50;16.19;50.47;1008.7;23.41;12.63;469.23;4.83;0.54;0.57;157.36;252.27;A;
22/04/2025;16:00;29.23;33.42;1011.42;22.92;12.8;681.65;3.18;7.6;6.38;326.51;192.06;A;
22/04/2025;16:10;22.12;32.19;1020.64;14.71;12.72;286.81;2.17;6.45;9.46;213.32;166.59;A;
22/04/2025;16:20;16.04;49.2;1024.91;18.28;13.14;476.97;10.61;6.46;5.66;349.45;65.22;A;
22/04/2025;16:30;35.48;71.46;1020.54;14.27;13.01;209.87;10.52;9.21;7.58;8.1;307.66;A;
22/04/2025;16:40;15.39;69.81;1010.26;23.24;12.93;777.58;8.16;6.17;9.38;229.87;14.82;A;
22/04/2025;16:50;15.73;80.62;1013.27;26.11;12.84;611.51;6.48;1.23;6.85;94.23;314.33;A;
22/04/2025;17:00;17.82;85.01;1014.61;26.46;12.61;800.28;5.45;0.52;6.8;298.19;236.29;A;
22/04/2025;17:10;21.71;89.31;1010.74;17.9;12.9;564.21;11.49;1.09;8.76;355.02;42.31;A;
22/04/2025;17:20;21.81;44.1;1022.69;21.43;12.95;358.48;0.52;8.01;7.36;131.53;24.09;A;
22/04/2025;17:30;10.04;50.43;1029.69;18.79;13.2;260.35;5.98;0.05;9.75;162.37;136.33;A;
22/04/2025;17:40;16.54;31.5;1011.5;24.78;12.58;115.97;9.65;7.76;6.03;85.96;138.89;A;
22/04/2025;17:50;21.39;68.89;1025.63;27.42;13.08;213.16;7.85;9.28;0.35;171.6;50.24;A;
22/04/2025;18:00;23.28;85.57;1014.89;19.23;12.64;15.67;2.83;1.13;1.99;320.89;246.05;A;
22/04/2025;18:10;19.11;34.42;1009.96;22.98;12.72;575.58;11.07;6.98;6.13;76.38;166.96;A;
22/04/2025;18:20;12.85;69.02;1019.76;23.92;12.83;32.37;7.02;7.76;2.59;331.99;260.36;A;
22/04/2025;18:30;18.59;39.37;1011.23;19.91;12.63;518.27;9.6;1.07;1.25;133.44;143.45;A;
22/04/2025;18:40;16.83;70.59;1022.95;20.61;12.54;115.23;10.12;8.96;9.1;216.64;142.37;A;
22/04/2025;18:50;7.64;59.29;1013.33;19.06;12.72;27.51;7.83;0.6;5.81;102.43;141.64;A;
22/04/2025;19:00;10.21;86.13;1014.18;21.77;13.19;786.17;3.27;5.11;4.77;203.87;316.67;A;
22/04/2025;19:10;21.66;77.61;1021.2;19.17;13.15;641.63;1.74;3.27;2.34;40.78;319.93;A;
22/04/2025;19:20;17.2;49.44;1021.94;28.72;13.08;856.25;5.84;7.13;0.48;113.9;159.09;A;
22/04/2025;19:30;14.0;55.74;1015.11;19.75;12.98;29.87;4.55;9.93;6.59;64.62;130.63;A;
22/04/2025;19:40;13.11;32.37;1013.79;25.98;12.53;199.91;5.12;5.72;1.48;217.17;225.76;A;
22/04/2025;19:50;23.81;90.0;1002.53;25.87;13.15;628.1;11.28;6.23;5.52;347.56;351.12;A;
22/04/2025;20:00;26.29;58.83;1000.42;25.32;12.71;194.31;7.82;3.91;3.76;73.35;68.13;A;
22/04/2025;20:10;26.12;55.86;1020.43;20.22;12.96;587.07;3.43;7.61;0.2;206.18;52.25;A;
22/04/2025;20:20;38.77;46.18;1012.89;20.23;12.56;783.32;10.49;1.27;7.28;341.49;5.7;A;
22/04/2025;20:30;18.34;76.74;1018.95;19.92;13.09;19.24;8.47;4.4;8.75;185.88;327.16;A;
22/04/2025;20:40;12.79;86.71;1021.91;24.09;13.09;368.82;11.26;2.22;4.99;1.0;352.97;A;
22/04/2025;20:50;24.16;89.52;1008.2;29.06;13.16;288.24;2.72;4.82;9.04;208.94;97.89;A;
22/04/2025;21:00;25.05;49.53;1010.83;28.47;13.14;9.34;1.44;3.12;4.67;32.18;18.87;A;
22/04/2025;21:10;25.38;66.91;1012.83;24.0;13.15;804.36;7.24;1.69;0.35;324.41;283.07;A;
22/04/2025;21:20;19.74;40.87;1006.74;19.85;12.78;578.29;11.82;4.65;7.72;265.41;220.05;A;
22/04/2025;21:30;28.27;47.28;1015.79;19.1;12.71;412.52;1.07;6.28;0.1;59.53;349.95;A;
22/04/2025;21:40;29.68;51.84;1011.93;19.45;12.74;871.8;0.16;1.93;2.97;281.98;150.68;A;
22/04/2025;21:50;21.82;36.12;1021.1;19.55;12.95;336.5;1.81;9.98;9.31;329.92;176.21;A;
22/04/2025;22:00;25.38;37.44;1015.29;20.65;12.64;746.72;0.74;2.14;5.86;186.88;89.17;A;
22/04/2025;22:10;34.74;84.37;1014.32;26.28;12.86;431.38;10.84;5.64;7.72;15.68;233.38;A;
22/04/2025;22:20;18.03;56.81;1023.14;28.27;12.66;543.68;9.39;5.32;8.35;301.51;219.22;A;
22/04/2025;22:30;20.41;46.63;1015.63;21.01;13.2;886.56;7.9;4.97;4.18;20.03;95.77;A;
22/04/2025;22:40;24.23;46.28;1021.27;18.1;12.62;528.42;1.6;6.61;0.16;243.26;278.98;A;
22/04/2025;22:50;20.4;35.86;1019.34;21.76;12.94;387.87;1.58;1.61;8.14;144.74;152.34;A;
22/04/2025;23:00;26.34;64.59;1020.33;23.63;12.66;528.72;7.57;0.94;2.67;204.73;25.94;A;
22/04/2025;23:10;22.51;58.57;1008.84;21.05;12.79;852.02;4.49;1.61;9.39;149.84;224.53;A;
22/04/2025;23:20;22.72;78.36;1014.29;20.13;13.11;807.94;8.39;9.71;9.98;289.53;49.01;A;
22/04/2025;23:30;30.57;78.84;1016.55;20.95;13.19;294.8;0.93;5.49;9.87;33.72;178.04;A;
22/04/2025;23:40;21.39;51.76;1018.9;22.66;13.07;133.68;3.22;4.72;4.11;252.27;142.63;A;
22/04/2025;23:50;5.54;47.96;1011.91;22.72;12.91;872.43;9.47;2.25;4.12;201.39;104.01;A;
23/04/2025;00:00;16.7;49.87;1018.61;20.17;13.15;147.7;8.75;6.88;8.06;356.74;140.08;A;
23/04/2025;00:10;27.2;61.88;1017.49;23.01;13.2;636.71;7.64;5.71;4.27;149.6;269.71;A;
23/04/2025;00:20;20.99;75.71;1011.65;21.46;13.05;64.96;2.29;4.1;3.14;312.2;266.52;A;
23/04/2025;00:30;26.29;65.17;1008.96;23.98;12.74;50.53;6.43;1.17;5.03;134.58;322.88;A;
23/04/2025;00:40;24.71;64.8;1015.24;31.65;12.52;823.56;8.57;4.13;3.49;33.39;237.94;A;
23/04/2025;00:50;25.72;74.83;1013.89;25.88;12.76;391.78;11.82;1.86;2.42;49.53;49.82;A;
23/04/2025;01:00;37.51;62.02;1017.89;25.14;13.13;417.68;4.32;0.98;6.09;185.62;66.52;A;
23/04/2025;01:10;24.36;57.54;1016.13;24.08;13.01;341.55;9.71;3.32;1.83;308.51;195.14;A;
23/04/2025;01:20;24.57;67.04;1013.27;25.75;12.64;681.75;0.78;5.24;7.92;189.64;242.43;A;
23/04/2025;01:30;24.13;71.08;1013.09;25.47;13.1;70.26;11.01;7.77;4.0;76.56;262.36;A;
23/04/2025;01:40;13.25;84.21;1012.45;23.99;12.8;85.91;11.73;6.51;2.89;314.3;59.4;A;
23/04/2025;01:50;16.37;45.83;1013.88;18.46;13.03;24.5;1.1;3.98;5.03;31.63;268.87;A;
23/04/2025;02:00;22.61;49.25;1005.06;21.06;12.74;418.15;9.69;1.89;5.3;327.75;328.03;A;
23/04/2025;02:10;37.11;64.05;1007.26;31.9;12.62;185.1;3.97;5.92;0.48;355.96;174.39;A;
23/04/2025;02:20;21.81;53.43;1019.94;24.34;12.61;263.65;11.42;0.56;1.13;142.54;326.9;A;
23/04/2025;02:30;12.16;87.13;1007.78;17.16;12.81;527.53;3.93;9.8;5.89;55.03;336.66;A;
23/04/2025;02:40;29.77;57.06;1011.09;27.04;12.8;763.22;11.92;8.19;7.3;197.24;229.25;A;
23/04/2025;02:50;34.52;83.12;1023.22;21.96;12.8;390.26;8.53;4.5;6.57;201.96;226.48;A;
23/04/2025;03:00;28.83;57.93;1016.62;23.69;12.97;701.6;7.86;1.48;1.48;232.74;307.71;A;
23/04/2025;03:10;25.37;80.51;1013.26;30.95;13.13;127.31;4.21;5.75;8.41;66.43;222.78;A;
23/04/2025;03:20;12.78;36.31;1018.51;26.53;13.12;767.45;8.42;9.85;5.93;290.64;321.04;A;
23/04/2025;03:30;17.93;84.45;1017.47;21.52;12.58;622.49;4.32;3.58;3.37;319.24;141.84;A;
23/04/2025;03:40;29.97;71.64;1018.64;18.04;13.14;350.86;1.99;9.88;6.21;284.44;241.76;A;
23/04/2025;03:50;21.45;89.0;1015.62;21.6;12.84;244.35;4.25;4.54;5.31;62.46;304.34;A;
23/04/2025;04:00;21.23;52.21;1019.27;22.64;12.51;31.9;1.41;0.98;1.3;88.19;186.0;A;
23/04/2025;04:10;10.69;37.66;1015.27;18.62;12.65;686.82;0.44;3.52;4.85;192.69;329.19;A;
23/04/2025;04:20;20.96;45.84;1013.74;18.69;13.07;90.8;8.6;1.46;6.6;60.87;313.88;A;
23/04/2025;04:30;12.02;47.47;1014.01;17.69;13.08;721.96;6.97;8.58;0.32;314.16;284.64;A;
23/04/2025;04:40;18.27;82.68;1018.82;21.89;13.0;162.4;3.73;0.89;9.86;284.07;275.81;A;
23/04/2025;04:50;25.74;40.29;1011.65;24.5;12.76;31.41;2.49;0.27;1.17;271.21;228.96;A;
23/04/2025;05:00;16.3;39.88;1016.64;24.21;12.78;42.21;9.1;9.55;4.76;162.13;253.33;A;
23/04/2025;05:10;23.3;38.96;1012.75;22.84;12.77;24.01;5.23;8.79;6.73;343.01;45.18;A;
23/04/2025;05:20;24.56;56.66;1019.42;21.62;12.85;114.26;6.56;3.58;1.21;327.32;95.55;A;
23/04/2025;05:30;26.41;63.71;1016.7;23.3;13.12;844.59;4.57;0.12;0.23;352.81;282.94;A;
23/04/2025;05:40;25.16;84.4;1022.17;22.7;12.8;433.55;8.73;1.77;5.92;304.52;35.05;A;
23/04/2025;05:50;11.61;66.44;1026.56;21.15;12.68;292.47;3.01;5.11;9.67;280.32;49.19;A;
23/04/2025;06:00;23.44;39.87;1016.86;30.0;12.92;773.21;9.83;5.83;4.96;124.42;340.09;A;
23/04/2025;06:10;34.01;46.38;1010.65;26.55;12.84;645.79;11.77;1.55;5.15;213.45;334.06;A;
23/04/2025;06:20;30.07;40.76;1017.41;25.75;13.0;678.27;3.76;7.76;5.08;211.66;52.36;A;
23/04/2025;06:30;23.72;75.06;1012.79;27.58;12.69;569.47;7.97;1.4;8.12;162.97;121.3;A;
23/04/2025;06:40;30.64;41.77;1003.08;21.37;12.56;271.58;10.7;2.15;9.8;289.74;199.39;A;
23/04/2025;06:50;21.47;84.42;1012.69;20.29;12.54;621.8;10.13;6.28;4.51;28.64;146.15;A;
23/04/2025;07:00;17.45;85.31;1019.35;28.52;12.89;2.98;8.43;3.99;5.2;170.33;225.22;A;
23/04/2025;07:10;18.76;30.36;1012.79;19.84;12.57;885.93;9.2;6.87;4.62;273.04;347.89;A;
